frame.time_epoch;ip.proto;ip.src;ip.dst;tcp.srcport;tcp.dstport;tcp.flags
1603192191.644580000;6;5.6.7.8;1.1.2.3;80;50050;0x00000012
1603192191.644622000;6;1.1.2.3;5.6.7.8;50050;80;0x00000010
1603192191.644700000;6;1.1.2.3;5.6.7.8;50050;80;0x00000018
1603192191.644875000;6;5.6.7.8;1.1.2.3;80;50050;0x00000010
1603192191.645228000;6;5.6.7.8;1.1.2.3;80;50050;0x00000010
1603192191.645246000;6;1.1.2.3;5.6.7.8;50050;80;0x00000010
1603192191.645279000;6;5.6.7.8;1.1.2.3;80;50050;0x00000010
1603192191.645295000;6;1.1.2.3;5.6.7.8;50050;80;0x00000010
1603192191.645324000;6;5.6.7.8;1.1.2.3;80;50050;0x00000018
1603192191.645332000;6;1.1.2.3;5.6.7.8;50050;80;0x00000010
1603192191.646251000;6;1.1.2.3;5.6.7.8;50050;80;0x00000011
1603192191.646931000;6;5.6.7.8;1.1.2.3;80;50050;0x00000011
1603192191.646962000;6;1.1.2.3;5.6.7.8;50050;80;0x00000010
1603192192.646941000;6;1.1.2.3;5.6.7.8;50052;80;0x00000002
1603192192.647204000;6;5.6.7.8;1.1.2.3;80;50052;0x00000012
1603192192.647254000;6;1.1.2.3;5.6.7.8;50052;80;0x00000010
1603192192.647351000;6;1.1.2.3;5.6.7.8;50052;80;0x00000018
1603192192.647549000;6;5.6.7.8;1.1.2.3;80;50052;0x00000010
1603192192.647959000;6;5.6.7.8;1.1.2.3;80;50052;0x00000010
1603192192.647976000;6;1.1.2.3;5.6.7.8;50052;80;0x00000010
1603192192.648004000;6;5.6.7.8;1.1.2.3;80;50052;0x00000018
1603192192.648019000;6;1.1.2.3;5.6.7.8;50052;80;0x00000010
1603192192.649009000;6;1.1.2.3;5.6.7.8;50052;80;0x00000011
1603192192.649553000;6;5.6.7.8;1.1.2.3;80;50052;0x00000011
1603192192.649579000;6;1.1.2.3;5.6.7.8;50052;80;0x00000010
1603192193.649322000;6;1.1.2.3;5.6.7.8;50054;80;0x00000002
1603192193.649584000;6;5.6.7.8;1.1.2.3;80;50054;0x00000012
1603192193.649625000;6;1.1.2.3;5.6.7.8;50054;80;0x00000010
1603192193.649704000;6;1.1.2.3;5.6.7.8;50054;80;0x00000018
1603192193.649931000;6;5.6.7.8;1.1.2.3;80;50054;0x00000010
1603192193.650334000;6;5.6.7.8;1.1.2.3;80;50054;0x00000010
1603192193.650352000;6;1.1.2.3;5.6.7.8;50054;80;0x00000010
1603192193.650385000;6;5.6.7.8;1.1.2.3;80;50054;0x00000018
1603192193.650401000;6;1.1.2.3;5.6.7.8;50054;80;0x00000010
1603192193.651462000;6;1.1.2.3;5.6.7.8;50054;80;0x00000011
1603192193.651931000;6;5.6.7.8;1.1.2.3;80;50054;0x00000011
1603192193.651957000;6;1.1.2.3;5.6.7.8;50054;80;0x00000010
1603192194.651908000;6;1.1.2.3;5.6.7.8;50056;80;0x00000002
1603192194.652168000;6;5.6.7.8;1.1.2.3;80;50056;0x00000012
1603192194.652217000;6;1.1.2.3;5.6.7.8;50056;80;0x00000010
1603192194.652313000;6;1.1.2.3;5.6.7.8;50056;80;0x00000018
1603192194.652513000;6;5.6.7.8;1.1.2.3;80;50056;0x00000010
1603192194.652967000;6;5.6.7.8;1.1.2.3;80;50056;0x00000010
1603192194.652985000;6;1.1.2.3;5.6.7.8;50056;80;0x00000010
1603192194.653019000;6;5.6.7.8;1.1.2.3;80;50056;0x00000018
1603192194.653034000;6;1.1.2.3;5.6.7.8;50056;80;0x00000010
1603192194.654053000;6;1.1.2.3;5.6.7.8;50056;80;0x00000011
1603192194.654643000;6;5.6.7.8;1.1.2.3;80;50056;0x00000011
1603192194.654677000;6;1.1.2.3;5.6.7.8;50056;80;0x00000010
1603192195.654359000;6;1.1.2.3;5.6.7.8;50058;80;0x00000002
1603192195.654663000;6;5.6.7.8;1.1.2.3;80;50058;0x00000012
1603192195.654722000;6;1.1.2.3;5.6.7.8;50058;80;0x00000010
1603192195.654807000;6;1.1.2.3;5.6.7.8;50058;80;0x00000018
1603192195.655047000;6;5.6.7.8;1.1.2.3;80;50058;0x00000010
1603192195.655404000;6;5.6.7.8;1.1.2.3;80;50058;0x00000010
1603192195.655423000;6;1.1.2.3;5.6.7.8;50058;80;0x00000010
1603192195.655453000;6;5.6.7.8;1.1.2.3;80;50058;0x00000018
1603192195.655468000;6;1.1.2.3;5.6.7.8;50058;80;0x00000010
1603192195.656462000;6;1.1.2.3;5.6.7.8;50058;80;0x00000011
1603192195.657002000;6;5.6.7.8;1.1.2.3;80;50058;0x00000011
